IP:Port,Loss,Latency
[2606:4700:d0:0:13:dfce:9406:a4bb]:2371,0%,230.69
[2606:4700:d0:0:8e8a:a249:e4f9:6860]:891,0%,231.26
[2606:4700:d1:0:c4:2501:a5d4:a075]:1843,0%,232.53
[2606:4700:d0:0:c5:d09a:ee9e:c454]:7152,0%,233.20
[2606:4700:d1::2a26:fc06:4214]:7156,0%,233.64
[2606:4700:d1:0:c57b:f26f:7f60:62de]:1014,0%,236.65
[2606:4700:d1:0:c56c:641e:ed56:64a5]:1387,0%,236.74
[2606:4700:d0:0:c5:d061:d403:107d]:1070,0%,237.37
[2606:4700:d1::1ec6:6aa3:b3b1]:8742,0%,238.56
[2606:4700:d1::2ab1:37dd:814]:854,0%,238.56
[2606:4700:d0::cec4:561:2e7b]:3581,0%,238.70
[2606:4700:d1:0:c4:2501:1133:7df3]:955,0%,238.88
[2606:4700:d1:0:c4:2501:a5c7:c1ee]:4500,0%,238.96
[2606:4700:d1:0:c4:2592:9bbb:ee80]:1074,0%,238.97
[2606:4700:d0:0:c5:d061:d4c6:45c8]:8742,0%,239.05
[2606:4700:d1::ae:71ca:6a2e]:3854,0%,239.05
[2606:4700:d1:0:c56c:641e:edd5:9589]:943,0%,239.10
[2606:4700:d0:0:c5:d061:c305:12ea]:7103,0%,239.26
[2606:4700:d1::1ec6:5872:9cd0]:859,0%,239.48
[2606:4700:d1:0:c56c:641e:597d:a65a]:988,0%,239.89
[2606:4700:d1:0:c4:2501:a5d4:a075]:7156,0%,240.59
[2606:4700:d1:0:c4:2501:a5d4:a075]:4233,0%,241.30
[2606:4700:d1:0:c56c:641e:61a4:a5d0]:891,0%,241.37
[2606:4700:d1::1ec6:97d:5007]:891,0%,241.61
[2606:4700:d0::94b8:12dd]:894,0%,241.77
[2606:4700:d1::ff:fced]:987,0%,242.01
[2606:4700:d1:0:c53c:89f9:4b12:ee60]:3476,0%,242.45
[2606:4700:d0::63:7036:1a61]:2371,0%,242.55
[2606:4700:d1:0:c53c:d986:2cb6:7318]:908,0%,242.67
[2606:4700:d0:0:c5:d024:da78:ab8]:859,0%,242.68
[2606:4700:d1:0:c57b:4efc:2d60:5841]:891,0%,242.70
[2606:4700:d0::63:7036:1a61]:988,0%,242.75
[2606:4700:d1::d344:a4b:5c7d]:7152,0%,242.75
[2606:4700:d1:0:c53c:d901:ddc1:9efe]:4500,0%,242.76
[2606:4700:d0:0:c5:d061:c3aa:bc71]:1002,0%,242.90
[2606:4700:d1::d344:a39:167c]:946,0%,243.24
[2606:4700:d0::63:8bdc:e4a6]:988,0%,243.34
[2606:4700:d1::ae:8f92:f869]:1014,0%,243.82
[2606:4700:d0::63:8bdc:e4a6]:1014,0%,243.83
[2606:4700:d1:0:c57b:4efc:2d9c:136e]:500,0%,243.88
[2606:4700:d0::cec4:561:2e7b]:8742,0%,243.94
[2606:4700:d1:0:c5b2:9240:deed:8f20]:1701,0%,244.11
[2606:4700:d1:0:c4:2501:cde9:bd9c]:3581,0%,244.12
[2606:4700:d0:0:13:dfce:9406:a4bb]:928,0%,244.93
[2606:4700:d0:0:13:190a:3d24:2db8]:859,0%,245.08
[2606:4700:d0:0:c5:d09a:ee24:a287]:1180,0%,245.16
